A0A075B5I0	ENSMUSG00000090765
Q3UV55	ENSMUSG00000020889
Q3UV66	ENSMUSG00000000204
Q3UV70	ENSMUSG00000049225
Q3UV71	ENSMUSG00000030306
Q3UV74	ENSMUSG00000000157
Q3UVD5	ENSMUSG00000042793
Q3UVF6	ENSMUSG00000070709
Q3UVG3	ENSMUSG00000037119
Q3UVK0	ENSMUSG00000046324
Q3UVL3	ENSMUSG00000074472
Q3UVL4	ENSMUSG00000024797
Q3UVR3	ENSMUSG00000090100
Q3UVU3	ENSMUSG00000026614
Q3UVV9	ENSMUSG00000030889
Q3UVX5	ENSMUSG00000049583
Q3UVY1	ENSMUSG00000043441
Q3UW02	ENSMUSG00000074448
Q3UW09	ENSMUSG00000074596
Q3UW12	ENSMUSG00000030897
Q3UW21	ENSMUSG00000024224
Q3UW22	ENSMUSG00000075574
Q3UW26	ENSMUSG00000074378
Q3UW31	ENSMUSG00000074452
Q3UW41	ENSMUSG00000074594
Q3UW53	ENSMUSG00000026483
Q3UW55	ENSMUSG00000074595
Q3UW68	ENSMUSG00000043705
Q3UW77	ENSMUSG00000073764
Q3UW98	ENSMUSG00000074195
Q3UWA4	ENSMUSG00000073399
Q3UWA6	ENSMUSG00000042638
Q3UWE6	ENSMUSG00000037957
Q3UWK8	ENSMUSG00000047889
Q3UWK9	ENSMUSG00000075002
Q3UWL8	ENSMUSG00000052033
Q3UWM4	ENSMUSG00000042599
Q3UWR2	ENSMUSG00000067750
Q3UWS2	ENSMUSG00000074913
Q3UWS6	ENSMUSG00000091060
Q3UWX6	ENSMUSG00000038925
Q3UWY1	ENSMUSG00000050810
Q3UWZ0	ENSMUSG00000071089
Q3UX10	ENSMUSG00000021216
Q3UX43	ENSMUSG00000039988
Q3UX49	ENSMUSG00000038330
Q3UX61	ENSMUSG00000046000
Q3UX62	ENSMUSG00000040189
Q3UX66	ENSMUSG00000074123
Q3UX83	ENSMUSG00000075023
Q3UXB0	ENSMUSG00000047508
Q3UXL1	ENSMUSG00000025955
Q3UXL4	ENSMUSG00000074749
Q3UXZ6	ENSMUSG00000032224
Q3UXZ9	ENSMUSG00000030180
Q3UY23	ENSMUSG00000037845
Q3UY51	ENSMUSG00000075224
Q3UY90	ENSMUSG00000038233
Q3UY96	ENSMUSG00000078490
Q3UYC0	ENSMUSG00000034613
Q3UYG1	ENSMUSG00000073207
Q3UYG8	ENSMUSG00000068205
Q3UYH7	ENSMUSG00000042249
Q3UYI1	ENSMUSG00000005950
Q3UYI5	ENSMUSG00000040146
Q3UYI6	ENSMUSG00000011658
Q3UYK3	ENSMUSG00000031709
Q3UYP3	ENSMUSG00000074671
Q3UYR4	ENSMUSG00000049515
Q3UYV8	ENSMUSG00000055809
Q3UYV9	ENSMUSG00000028330
Q3UZ01	ENSMUSG00000027981
Q3UZ09	ENSMUSG00000038527
Q3UZ18	ENSMUSG00000032235
Q3UZ24	ENSMUSG00000071716
Q3UZ39	ENSMUSG00000026305
Q3UZ45	ENSMUSG00000074651
Q3UZA1	ENSMUSG00000040723
Q3UZB0	ENSMUSG00000072969
Q3UZD5	ENSMUSG00000069378
Q3UZD7	ENSMUSG00000039742
Q3UZP0	ENSMUSG00000021636
Q3UZP4	ENSMUSG00000074093
Q3UZV7	ENSMUSG00000056004
Q3UZW7	ENSMUSG00000022544
Q3UZY0	ENSMUSG00000023764
Q3UZY6	ENSMUSG00000045466
Q3UZZ4	ENSMUSG00000022026
Q3UZZ6	ENSMUSG00000029273
Q3V009	ENSMUSG00000032180
Q3V016	ENSMUSG00000040424
Q3V036	ENSMUSG00000039492
Q3V037	ENSMUSG00000071015
Q3V038	ENSMUSG00000042734
Q3V050	ENSMUSG00000069855
Q3V061	ENSMUSG00000070332
Q3V063	ENSMUSG00000074734
Q3V079	ENSMUSG00000057265
Q3V080	ENSMUSG00000030443
Q3V089	ENSMUSG00000070732
Q3V096	ENSMUSG00000041343
Q3V0A6	ENSMUSG00000072259
Q3V0B4	ENSMUSG00000047021
Q3V0C3	ENSMUSG00000071909
Q3V0C5	ENSMUSG00000043411
Q3V0E1	ENSMUSG00000028451
Q3V0F0	ENSMUSG00000071636
Q3V0G7	ENSMUSG00000038860
Q3V0H9	ENSMUSG00000041068
Q3V0I2	ENSMUSG00000034686
Q3V0I7	ENSMUSG00000036551
Q3V0J1	ENSMUSG00000038079
Q3V0J4	ENSMUSG00000014747
Q3V0K9	ENSMUSG00000049493
Q3V0L5	ENSMUSG00000063409
Q3V0M1	ENSMUSG00000095300
Q3V0M2	ENSMUSG00000054320
Q3V0P1	ENSMUSG00000072995
Q3V0P3	ENSMUSG00000074655
Q3V0P9	ENSMUSG00000073006
Q3V0Q6	ENSMUSG00000066196
Q3V0Q7	ENSMUSG00000045631
Q3V0S2	ENSMUSG00000068173
Q3V0S8	ENSMUSG00000020617
Q3V0T4	ENSMUSG00000070369
Q3V0U0	ENSMUSG00000074139
Q3V0U9	ENSMUSG00000037708
Q3V0W9	ENSMUSG00000074248
Q3V0X0	ENSMUSG00000098348
Q3V0X1	ENSMUSG00000073094
Q3V0X2	ENSMUSG00000073085
Q3V0Y1	ENSMUSG00000035387
Q3V118	ENSMUSG00000043429
Q3V124	ENSMUSG00000109864
Q3V125	ENSMUSG00000071104
Q3V129	ENSMUSG00000040936
Q3V132	ENSMUSG00000069041
Q3V140	ENSMUSG00000072770
Q3V172	ENSMUSG00000074764
Q3V185	ENSMUSG00000094796
Q3V188	ENSMUSG00000022468
Q3V1B8	ENSMUSG00000075593
Q3V1D3	ENSMUSG00000070385
Q3V1D5	ENSMUSG00000043286
Q3V1F1	ENSMUSG00000062464
Q3V1G4	ENSMUSG00000038463
Q3V1H1	ENSMUSG00000037725
Q3V1H3	ENSMUSG00000031936
Q3V1I0	ENSMUSG00000061584
Q3V1L4	ENSMUSG00000025041
Q3V1L6	ENSMUSG00000045934
Q3V1M1	ENSMUSG00000036334
Q3V1N1	ENSMUSG00000070056
Q3V1N5	ENSMUSG00000039879
Q3V1N9	ENSMUSG00000028794
Q3V1T4	ENSMUSG00000028641
Q3V1U8	ENSMUSG00000041986
Q3V1V3	ENSMUSG00000045624
Q3V209	ENSMUSG00000034757
Q3V290	ENSMUSG00000074847
Q3V2A7	ENSMUSG00000070331
Q3V2C1	ENSMUSG00000049809
Q3V2D2	ENSMUSG00000071858
Q3V2D6	ENSMUSG00000075567
Q3V2G4	ENSMUSG00000074300
Q3V2G9	ENSMUSG00000097221
Q3V2J0	ENSMUSG00000042269
Q3V2J1	ENSMUSG00000073795
Q3V2J9	ENSMUSG00000070529
Q3V2K1	ENSMUSG00000090141
Q3V2K7	ENSMUSG00000072878
Q3V2L0	ENSMUSG00000074679
Q3V2L5	ENSMUSG00000096641
Q3V2Q8	ENSMUSG00000041132
Q3V2T4	ENSMUSG00000074199
Q3V300	ENSMUSG00000030677
Q3V384	ENSMUSG00000038302
Q3V3A1	ENSMUSG00000026023
Q3V3A3	ENSMUSG00000031210
Q3V3A7	ENSMUSG00000058498
Q3V3E1	ENSMUSG00000042345
Q3V3F6	ENSMUSG00000070305
Q3V3G7	ENSMUSG00000074259
Q3V3I2	ENSMUSG00000028777
Q3V3I5	ENSMUSG00000072553
Q3V3K7	ENSMUSG00000074569
Q3V3N7	ENSMUSG00000006464
Q3V3Q4	ENSMUSG00000066677
Q3V3Q7	ENSMUSG00000021143
Q3V3R1	ENSMUSG00000040675
Q3V3R4	ENSMUSG00000042284
Q3V3W4	ENSMUSG00000075327
Q3V3Z3	ENSMUSG00000061577
Q3V432	ENSMUSG00000066936
Q3V460	ENSMUSG00000074754
Q3V490	ENSMUSG00000062124
Q3V4B5	ENSMUSG00000075486
Q3V4B6	ENSMUSG00000068067
Q3V4B7	ENSMUSG00000075566
Q3ZAS0	ENSMUSG00000026062
Q3ZK22	ENSMUSG00000036099
Q3ZN08	ENSMUSG00000118332
Q3ZN08	ENSMUSG00000083012
Q3ZT31	ENSMUSG00000038291
Q400C8	ENSMUSG00000020610
Q402B2	ENSMUSG00000039099
Q402U7	ENSMUSG00000032493
Q45HK4	ENSMUSG00000073494
Q45KJ6	ENSMUSG00000063804
Q45VK7	ENSMUSG00000047193
Q45VN2	ENSMUSG00000094818
Q45VN2	ENSMUSG00000095066
Q497H0	ENSMUSG00000044477
Q497I4	ENSMUSG00000048013
Q497I5	ENSMUSG00000054325
Q497J0	ENSMUSG00000071561
Q497J1	ENSMUSG00000045282
Q497K5	ENSMUSG00000073380
Q497K7	ENSMUSG00000037689
Q497L1	ENSMUSG00000078346
Q497L3	ENSMUSG00000068506
Q497L8	ENSMUSG00000019834
Q497L9	ENSMUSG00000070280
Q497M0	ENSMUSG00000072888
Q497M3	ENSMUSG00000055547
Q497M6	ENSMUSG00000089929
Q497N6	ENSMUSG00000076433
Q497N7	ENSMUSG00000021415
Q497P3	ENSMUSG00000095789
Q497P9	ENSMUSG00000071726
Q497Q6	ENSMUSG00000050545
Q497R7	ENSMUSG00000094660
Q497S0	ENSMUSG00000093923
Q497V9	ENSMUSG00000074194
Q497W1	ENSMUSG00000070798
Q497W2	ENSMUSG00000070797
Q497Y9	ENSMUSG00000044092
Q497Z0	ENSMUSG00000074062
Q499D0	ENSMUSG00000033713
Q499D5	ENSMUSG00000047603
Q499E0	ENSMUSG00000035131
Q499E4	ENSMUSG00000037784
Q499E5	ENSMUSG00000038143
Q499E6	ENSMUSG00000044730
Q499F0	ENSMUSG00000070677
Q499M4	ENSMUSG00000103906
Q499X9	ENSMUSG00000046994
Q49B93	ENSMUSG00000041644
Q4ACU6	ENSMUSG00000022623
Q4FJU9	ENSMUSG00000059900
Q4FK66	ENSMUSG00000063800
Q4FZC9	ENSMUSG00000054150
Q4FZD7	ENSMUSG00000035486
Q4FZE8	ENSMUSG00000110439
Q4FZF2	ENSMUSG00000042800
Q4FZF3	ENSMUSG00000057788
Q4FZG7	ENSMUSG00000071229
Q4FZG8	ENSMUSG00000055895
Q4FZG9	ENSMUSG00000040280
Q4G0C7	ENSMUSG00000047799
Q4G0F8	ENSMUSG00000039473
Q4G0K9	ENSMUSG00000044349
Q4G5Y1	ENSMUSG00000020978
Q4JK59	ENSMUSG00000040943
Q4KKZ1	ENSMUSG00000028589
Q4KL04	ENSMUSG00000079655
Q4KL05	ENSMUSG00000073257
Q4KL13	ENSMUSG00000047227
Q4KL14	ENSMUSG00000071340
Q4KL18	ENSMUSG00000052485
Q4KL20	ENSMUSG00000055942
Q4KL25	ENSMUSG00000062252
Q4KL31	ENSMUSG00000004542
Q4KL35	ENSMUSG00000031147
Q4KL65	ENSMUSG00000070799
Q4KL66	ENSMUSG00000030373
Q4KL71	ENSMUSG00000068893
Q4KL71	ENSMUSG00000078664
Q4KL71	ENSMUSG00000074445
Q4KL78	ENSMUSG00000041722
Q4KMM3	ENSMUSG00000022307
Q4KN81	ENSMUSG00000091705
Q4KUS1	ENSMUSG00000070533
Q4KUS2	ENSMUSG00000034799
Q4KWH5	ENSMUSG00000036834
Q4KXB6	ENSMUSG00000040154
Q4LDD4	ENSMUSG00000032812
Q4LDF6	ENSMUSG00000033898
Q4LDG0	ENSMUSG00000030382
Q4LFA9	ENSMUSG00000021904
Q4PJX1	ENSMUSG00000006010
Q4PLS0	ENSMUSG00000035177
Q4PNJ2	ENSMUSG00000069670
Q4PZA2	ENSMUSG00000057530
Q4QQM4	ENSMUSG00000068735
Q4QQM5	ENSMUSG00000054942
Q4QQP3	ENSMUSG00000021510
Q4QRL3	ENSMUSG00000047810
Q4QY32	ENSMUSG00000071165
Q4QY34	ENSMUSG00000071169
Q4QY64	ENSMUSG00000017550
Q4TU81	ENSMUSG00000071766
Q4TU83	ENSMUSG00000053909
Q4TU90	ENSMUSG00000059626
Q4TU90	ENSMUSG00000095601
Q4TU90	ENSMUSG00000071772
Q4U2R1	ENSMUSG00000030451
Q4U4S6	ENSMUSG00000027022
Q4V9W2	ENSMUSG00000021716
Q4V9Z5	ENSMUSG00000030683
Q4VA36	ENSMUSG00000043923
Q4VA45	ENSMUSG00000053080
Q4VA53	ENSMUSG00000034021
Q4VA55	ENSMUSG00000042515
Q4VA61	ENSMUSG00000032087
Q4VAA2	ENSMUSG00000032803
Q4VAA7	ENSMUSG00000032733
Q4VAB4	ENSMUSG00000044681
Q4VAC9	ENSMUSG00000052609
Q4VAD2	ENSMUSG00000029451
Q4VAE3	ENSMUSG00000062373
Q4VAH7	ENSMUSG00000044156
Q4VBD2	ENSMUSG00000046985
Q4VBD9	ENSMUSG00000027439
Q4VBE4	ENSMUSG00000042961
Q4VBE8	ENSMUSG00000035754
Q4VBF2	ENSMUSG00000035781
Q4VC17	ENSMUSG00000053399
Q4VC33	ENSMUSG00000079562
Q4VGL6	ENSMUSG00000040423
Q4VK74	ENSMUSG00000059128
Q4ZGD8	ENSMUSG00000009941
Q4ZGD9	ENSMUSG00000057000
Q4ZJM7	ENSMUSG00000027788
Q4ZJM9	ENSMUSG00000001076
Q4ZJN1	ENSMUSG00000071347
Q501J2	ENSMUSG00000057411
Q501J6	ENSMUSG00000055065
Q501J7	ENSMUSG00000066043
Q501P1	ENSMUSG00000027386
Q504M2	ENSMUSG00000048371
Q504M8	ENSMUSG00000079657
Q504N0	ENSMUSG00000071553
Q504N2	ENSMUSG00000033147
Q504P9	ENSMUSG00000071770
Q505B7	ENSMUSG00000057572
Q505B8	ENSMUSG00000003824
Q505D1	ENSMUSG00000014496
Q505D7	ENSMUSG00000052214
Q505D9	ENSMUSG00000036913
Q505F1	ENSMUSG00000005897
Q505F4	ENSMUSG00000049764
Q505F5	ENSMUSG00000029028
Q505G4	ENSMUSG00000055745
Q505G8	ENSMUSG00000071064
Q505H4	ENSMUSG00000045648
Q505K2	ENSMUSG00000051000
Q50E62	ENSMUSG00000020600
Q50H33	ENSMUSG00000037653
Q50L41	ENSMUSG00000046971
Q50L42	ENSMUSG00000050211
Q50L43	ENSMUSG00000070719
Q52KB6	ENSMUSG00000047248
Q52KE7	ENSMUSG00000027829
Q52KF3	ENSMUSG00000024533
Q52KG3	ENSMUSG00000031224
Q52KG4	ENSMUSG00000049600
Q52KG5	ENSMUSG00000021294
Q52KH6	ENSMUSG00000071745
Q52KH6	ENSMUSG00000067771
Q52KP5	ENSMUSG00000044229
Q52KR2	ENSMUSG00000032913
Q52KR3	ENSMUSG00000039126
Q562D6	ENSMUSG00000028331
Q562E2	ENSMUSG00000051648
Q569E4	ENSMUSG00000068860
Q569L8	ENSMUSG00000064128
Q569N2	ENSMUSG00000050914
Q569Q2	ENSMUSG00000053420
Q569X9	ENSMUSG00000062624
Q569Z5	ENSMUSG00000021500
Q569Z6	ENSMUSG00000043962
Q56A04	ENSMUSG00000073436
Q56A06	ENSMUSG00000036019
Q56A07	ENSMUSG00000070304
Q56A08	ENSMUSG00000031148
Q56A10	ENSMUSG00000052713
Q570Y9	ENSMUSG00000022419
Q571B6	ENSMUSG00000045795
Q571C7	ENSMUSG00000049658
Q571E4	ENSMUSG00000015027
Q571E5	ENSMUSG00000044139
Q571F5	ENSMUSG00000024160
Q571F8	ENSMUSG00000044005
Q571G4	ENSMUSG00000118665
Q571I4	ENSMUSG00000050271
Q571J5	ENSMUSG00000044807
Q571K4	ENSMUSG00000035476
Q587J6	ENSMUSG00000087166
Q58A37	ENSMUSG00000071158
Q58A65	ENSMUSG00000020859
Q58FA4	ENSMUSG00000046179
Q58NB6	ENSMUSG00000027068
Q58Y75	ENSMUSG00000067642
Q59J78	ENSMUSG00000068184
Q5BJ29	ENSMUSG00000043556
Q5BKP2	ENSMUSG00000056900
Q5BKQ4	ENSMUSG00000042179
Q5BKR2	ENSMUSG00000037994
Q5BKS4	ENSMUSG00000030929
Q5BL07	ENSMUSG00000005907
Q5BN45	ENSMUSG00000026831
Q5BU09	ENSMUSG00000054302
Q5CZY0	ENSMUSG00000060017
Q5D1E7	ENSMUSG00000042677
Q5D525	ENSMUSG00000033409
Q5DID3	ENSMUSG00000054134
Q5DP50	ENSMUSG00000071138
Q5DQQ6	ENSMUSG00000067704
Q5DQR4	ENSMUSG00000022829
Q5DRQ8	ENSMUSG00000070524
Q5DT36	ENSMUSG00000043932
Q5DTH5	ENSMUSG00000046982
Q5DTI6	ENSMUSG00000026004
Q5DTI8	ENSMUSG00000037681
Q5DTJ9	ENSMUSG00000020067
Q5DTK1	ENSMUSG00000058152
Q5DTL9	ENSMUSG00000026904
Q5DTM8	ENSMUSG00000028309
Q5DTN8	ENSMUSG00000056856
Q5DTT1	ENSMUSG00000046449
Q5DTT2	ENSMUSG00000037126
Q5DTT3	ENSMUSG00000033799
Q5DTT4	ENSMUSG00000049191
Q5DTT8	ENSMUSG00000050424
Q5DTU0	ENSMUSG00000025083
Q5DTV4	ENSMUSG00000035164
Q5DTW7	ENSMUSG00000032712
Q5DTX6	ENSMUSG00000033960
Q5DTY9	ENSMUSG00000051401
Q5DTZ0	ENSMUSG00000075592
Q5DTZ6	ENSMUSG00000047747
Q5DU00	ENSMUSG00000035910
Q5DU02	ENSMUSG00000042506
Q5DU09	ENSMUSG00000075595
Q5DU14	ENSMUSG00000039057
Q5DU28	ENSMUSG00000060212
Q5DU31	ENSMUSG00000064065
Q5DU37	ENSMUSG00000066440
Q5DU41	ENSMUSG00000070639
Q5DU56	ENSMUSG00000049871
Q5DW34	ENSMUSG00000036893
Q5EBG6	ENSMUSG00000036854
Q5EBG8	ENSMUSG00000078584
Q5EBH1	ENSMUSG00000026430
Q5EBI0	ENSMUSG00000040441
Q5EBJ2	ENSMUSG00000095528
Q5EBJ4	ENSMUSG00000026830
Q5EBP3	ENSMUSG00000042178
Q5EE38	ENSMUSG00000038000
Q5EG47	ENSMUSG00000050697
Q5ERI8	ENSMUSG00000079120
Q5ERJ0	ENSMUSG00000061958
Q5F201	ENSMUSG00000020904
Q5F204	ENSMUSG00000025963
Q5F226	ENSMUSG00000055333
Q5F259	ENSMUSG00000037907
Q5F267	ENSMUSG00000044328
Q5F285	ENSMUSG00000070394
Q5F289	ENSMUSG00000041165
Q5F293	ENSMUSG00000018750
Q5F297	ENSMUSG00000018776
Q5F2C3	ENSMUSG00000020332
Q5F2E7	ENSMUSG00000037857
Q5F2E8	ENSMUSG00000017291
Q5F2F2	ENSMUSG00000000686
Q5F2L2	ENSMUSG00000046152
Q5FW52	ENSMUSG00000032355
Q5FW53	ENSMUSG00000068745
Q5FW57	ENSMUSG00000071633
Q5FW60	ENSMUSG00000078672
Q5FW85	ENSMUSG00000043631
Q5FWA1	ENSMUSG00000094860
Q5FWB5	ENSMUSG00000094294
Q5FWB5	ENSMUSG00000094729
Q5FWC3	ENSMUSG00000057240
Q5FWC9	ENSMUSG00000079364
Q5FWD4	ENSMUSG00000095634
Q5FWD4	ENSMUSG00000096898
Q5FWD5	ENSMUSG00000096122
Q5FWH2	ENSMUSG00000015127
Q5FWH3	ENSMUSG00000037188
Q5FWH6	ENSMUSG00000052921
Q5FWH7	ENSMUSG00000036949
Q5FWI2	ENSMUSG00000026387
Q5FWI3	ENSMUSG00000024754
Q5FWK3	ENSMUSG00000027247
Q5G5D5	ENSMUSG00000085957
Q5G864	ENSMUSG00000094687
Q5G865	ENSMUSG00000064213
Q5G866	ENSMUSG00000074442
Q5G866	ENSMUSG00000074446
Q5GAM7	ENSMUSG00000068392
Q5GAM8	ENSMUSG00000068407
Q5GAM9	ENSMUSG00000059648
Q5GAN0	ENSMUSG00000072598
Q5GAN1	ENSMUSG00000053961
Q5GFD5	ENSMUSG00000039628
Q5GH62	ENSMUSG00000067813
Q5GH64	ENSMUSG00000042631
Q5GH66	ENSMUSG00000039814
Q5GH67	ENSMUSG00000051951
Q5GH68	ENSMUSG00000031258
Q5GIG6	ENSMUSG00000040086
Q5GLZ0	ENSMUSG00000067229
Q5H8A1	ENSMUSG00000067604
Q5H8C4	ENSMUSG00000046230
Q5HZG4	ENSMUSG00000025782
Q5HZG9	ENSMUSG00000044519
Q5HZH2	ENSMUSG00000015126
Q5HZH7	ENSMUSG00000034224
Q5HZI2	ENSMUSG00000045912
Q5HZI9	ENSMUSG00000045973
Q5HZJ0	ENSMUSG00000022191
Q5HZJ5	ENSMUSG00000032657
Q5HZK1	ENSMUSG00000038215
Q5HZK2	ENSMUSG00000059361
Q5I012	ENSMUSG00000061306
Q5I043	ENSMUSG00000032267
Q5I0V9	ENSMUSG00000030385
Q5I0W6	ENSMUSG00000056487
Q5I1X5	ENSMUSG00000040734
Q5IBH6	ENSMUSG00000039296
Q5IBH7	ENSMUSG00000052525
Q5IR70	ENSMUSG00000044566
Q5IRJ6	ENSMUSG00000029221
Q5ISE2	ENSMUSG00000059334
Q5IXF8	ENSMUSG00000049928
Q5JCS9	ENSMUSG00000031803
Q5JCT0	ENSMUSG00000032226
Q5K6N0	ENSMUSG00000045036
Q5KU39	ENSMUSG00000041236
Q5M6W3	ENSMUSG00000020461
Q5M8M2	ENSMUSG00000047394
Q5M8M9	ENSMUSG00000040485
Q5M8N0	ENSMUSG00000044629
Q5M8N4	ENSMUSG00000022223
Q5M8P2	ENSMUSG00000096620
Q5M8Q2	ENSMUSG00000095445
Q5M8Q2	ENSMUSG00000099443
Q5M8Q2	ENSMUSG00000094904
Q5M8Q2	ENSMUSG00000096097
Q5M8Q2	ENSMUSG00000095655
Q5M8Q2	ENSMUSG00000095662
Q5M8Q2	ENSMUSG00000100626
Q5M8R5	ENSMUSG00000096666
Q5M8S2	ENSMUSG00000049719
Q5M956	ENSMUSG00000036225
Q5M9N4	ENSMUSG00000021120
Q5MJS3	ENSMUSG00000025854
Q5MPP0	ENSMUSG00000033579
Q5NBU5	ENSMUSG00000070388
Q5NBU8	ENSMUSG00000040483
Q5NBX1	ENSMUSG00000020173
Q5NBY9	ENSMUSG00000020453
Q5NC05	ENSMUSG00000033222
Q5NC32	ENSMUSG00000040938
Q5NC41	ENSMUSG00000013653
Q5NC44	ENSMUSG00000058807
Q5NC45	ENSMUSG00000050813
Q5NC48	ENSMUSG00000058287
Q5NC55	ENSMUSG00000070438
Q5NC57	ENSMUSG00000049154
Q5NC59	ENSMUSG00000094805
Q5NC63	ENSMUSG00000072915
Q5NC83	ENSMUSG00000020191
Q5NC97	ENSMUSG00000071491
Q5NCB2	ENSMUSG00000048852
Q5NCB3	ENSMUSG00000058163
Q5NCC3	ENSMUSG00000040365
Q5NCC7	ENSMUSG00000056564
Q5NCC8	ENSMUSG00000063549
Q5NCC9	ENSMUSG00000037124
Q5NCD0	ENSMUSG00000043880
Q5NCD2	ENSMUSG00000060765
Q5NCD3	ENSMUSG00000057654
Q5NCD6	ENSMUSG00000060030
Q5NCD7	ENSMUSG00000108265
Q5NCE8	ENSMUSG00000021339
Q5NCF2	ENSMUSG00000049299
Q5NCH9	ENSMUSG00000000617
Q5NCI0	ENSMUSG00000049680
Q5NCJ1	ENSMUSG00000037533
Q5NCM1	ENSMUSG00000021336
Q5NCP0	ENSMUSG00000034177
Q5NCQ5	ENSMUSG00000078789
Q5NCR9	ENSMUSG00000037958
Q5NCS9	ENSMUSG00000018599
Q5NCX5	ENSMUSG00000047284
Q5NCY0	ENSMUSG00000018476
Q5NCY3	ENSMUSG00000044795
Q5ND04	ENSMUSG00000070345
Q5ND19	ENSMUSG00000020486
Q5ND28	ENSMUSG00000038188
Q5ND29	ENSMUSG00000038195
Q5ND34	ENSMUSG00000045374
Q5ND52	ENSMUSG00000038046
Q5ND56	ENSMUSG00000069808
Q5PPQ4	ENSMUSG00000056592
Q5PR68	ENSMUSG00000020728
Q5PR73	ENSMUSG00000047842
Q5PRE5	ENSMUSG00000049504
Q5PRF0	ENSMUSG00000035181
Q5PT53	ENSMUSG00000031684
Q5PT54	ENSMUSG00000058921
Q5QD04	ENSMUSG00000037424
Q5QD05	ENSMUSG00000100004
Q5QD06	ENSMUSG00000100186
Q5QD07	ENSMUSG00000096442
Q5QD08	ENSMUSG00000100950
Q5QD09	ENSMUSG00000100689
Q5QD10	ENSMUSG00000095569
Q5QD11	ENSMUSG00000095171
Q5QD12	ENSMUSG00000095647
Q5QD13	ENSMUSG00000045111
Q5QD14	ENSMUSG00000069706
Q5QD15	ENSMUSG00000069707
Q5QD16	ENSMUSG00000069708
Q5QD17	ENSMUSG00000059763
Q5QGU6	ENSMUSG00000066319
Q5QNQ6	ENSMUSG00000020435
Q5QNQ9	ENSMUSG00000045672
Q5QNV8	ENSMUSG00000018925
Q5QR91	ENSMUSG00000051452
Q5R1A3	ENSMUSG00000076867
Q5R1A4	ENSMUSG00000076866
Q5R1B6	ENSMUSG00000076795
Q5R1C3	ENSMUSG00000094828
Q5R1D2	ENSMUSG00000094016
Q5R1E6	ENSMUSG00000094220
Q5R1F6	ENSMUSG00000096106
Q5R1F6	ENSMUSG00000096168
Q5R1H8	ENSMUSG00000076770
Q5R1H9	ENSMUSG00000094023
Q5R1I0	ENSMUSG00000095387
Q5R1I1	ENSMUSG00000096908
Q5R1I1	ENSMUSG00000096746
Q5R1I3	ENSMUSG00000096417
Q5R1I3	ENSMUSG00000105533
Q5R1I4	ENSMUSG00000076764
Q5R1I8	ENSMUSG00000076760
Q5R1I9	ENSMUSG00000076759
Q5RI75	ENSMUSG00000043003
Q5RIS0	ENSMUSG00000066137
Q5RJ54	ENSMUSG00000022228
Q5RJB0	ENSMUSG00000044243
Q5RJF7	ENSMUSG00000041460
Q5RJG1	ENSMUSG00000061458
Q5RJG7	ENSMUSG00000043153
Q5RJH2	ENSMUSG00000032776
Q5RJH3	ENSMUSG00000040452
Q5RJH6	ENSMUSG00000042772
Q5RJI2	ENSMUSG00000028360
Q5RJI4	ENSMUSG00000024247
Q5RJI5	ENSMUSG00000035390
Q5RJY2	ENSMUSG00000035293
Q5RKR3	ENSMUSG00000051243
Q5RKS2	ENSMUSG00000044600
Q5RKV8	ENSMUSG00000040065
Q5RKZ7	ENSMUSG00000064120
Q5RL51	ENSMUSG00000028018
Q5RL79	ENSMUSG00000042747
Q5S003	ENSMUSG00000027867
Q5S006	ENSMUSG00000036273
Q5S248	ENSMUSG00000054537
Q5SDA5	ENSMUSG00000042282
Q5SF07	ENSMUSG00000033581
Q5SFM8	ENSMUSG00000024491
Q5SGK3	ENSMUSG00000079554
Q5SNZ0	ENSMUSG00000032740
Q5SP45	ENSMUSG00000032985
Q5SP85	ENSMUSG00000032878
Q5SPH3	ENSMUSG00000069873
Q5SPI8	ENSMUSG00000066141
Q5SPL2	ENSMUSG00000037791
Q5SPV6	ENSMUSG00000040919
Q5SPW0	ENSMUSG00000020128
Q5SPX1	ENSMUSG00000051427
Q5SPX3	ENSMUSG00000003581
Q5SQ27	ENSMUSG00000054986
Q5SQF8	ENSMUSG00000020519
Q5SQK8	ENSMUSG00000062511
Q5SQM0	ENSMUSG00000044072
Q5SQP1	ENSMUSG00000020419
Q5SQX6	ENSMUSG00000020340
Q5SQY2	ENSMUSG00000044502
Q5SRT8	ENSMUSG00000044707
Q5SRX1	ENSMUSG00000000538
Q5SRY7	ENSMUSG00000020271
Q5SS00	ENSMUSG00000027520
Q5SS80	ENSMUSG00000020834
Q5SS90	ENSMUSG00000040978
Q5SS91	ENSMUSG00000040985
Q5SSA0	ENSMUSG00000069280
Q5SSE9	ENSMUSG00000004668
Q5SSF7	ENSMUSG00000044468
Q5SSG4	ENSMUSG00000020686
Q5SSG5	ENSMUSG00000020684
Q5SSH7	ENSMUSG00000055670
Q5SSH8	ENSMUSG00000057778
Q5SSI6	ENSMUSG00000054079
Q5SSJ1	ENSMUSG00000069792
Q5SSK3	ENSMUSG00000046909
Q5SSL4	ENSMUSG00000017631
Q5SSM3	ENSMUSG00000033389
Q5SSN7	ENSMUSG00000069899
Q5SSN7	ENSMUSG00000073468
Q5SSP0	ENSMUSG00000072708
Q5SSW2	ENSMUSG00000040850
