c100000_g1	6055.m.41809
c82672_g1	6055.m.8383
c82674_g1	6055.m.8384
c82676_g1	6055.m.8385
c82682_g1	6055.m.8386
c82688_g1	6055.m.8389
c827_g1	6055.m.35
c82702_g1	6055.m.8392
c82708_g1	6055.m.8393
c82718_g1	6055.m.8395
c82721_g1	6055.m.8396
c82726_g1	6055.m.8397
c82730_g1	6055.m.8400
c82732_g1	6055.m.8404
c82735_g1	6055.m.8407
c82739_g1	6055.m.8408
c82743_g1	6055.m.8409
c82743_g2	6055.m.8410
c82750_g1	6055.m.8411
c82752_g1	6055.m.8412
c82754_g1	6055.m.8413
c82764_g1	6055.m.8414
c82765_g1	6055.m.8416
c82767_g1	6055.m.8417
c82776_g1	6055.m.8419
c82779_g1	6055.m.8421
c82787_g1	6055.m.8425
c82792_g1	6055.m.8429
c82794_g1	6055.m.8433
c82796_g1	6055.m.8434
c82797_g1	6055.m.8436
c82807_g1	6055.m.8438
c82807_g2	6055.m.8439
c82808_g1	6055.m.8440
c82810_g1	6055.m.8441
c82817_g1	6055.m.8442
c82817_g2	6055.m.8444
c82820_g1	6055.m.8445
c82828_g1	6055.m.8447
c82831_g1	6055.m.8450
c82841_g1	6055.m.8453
c82841_g2	6055.m.8454
c82841_g3	6055.m.8455
c82844_g1	6055.m.8456
c82847_g1	6055.m.8457
c82852_g1	6055.m.8459
c82852_g2	6055.m.8460
c82865_g1	6055.m.8463
c82871_g1	6055.m.8466
c82871_g2	6055.m.8467
c82876_g1	6055.m.8468
c82878_g1	6055.m.8469
c82882_g1	6055.m.8471
c82889_g1	6055.m.8473
c82890_g1	6055.m.8475
c82895_g1	6055.m.8477
c82908_g1	6055.m.8480
c82910_g1	6055.m.8482
c82913_g1	6055.m.8483
c82914_g1	6055.m.8484
c82915_g1	6055.m.8485
c82917_g1	6055.m.8487
c82922_g1	6055.m.8488
c82924_g1	6055.m.8489
c82924_g2	6055.m.8490
c82924_g3	6055.m.8492
c82927_g1	6055.m.8493
c82928_g1	6055.m.8495
c82938_g1	6055.m.8502
c82947_g1	6055.m.8505
c82949_g1	6055.m.8506
c82950_g1	6055.m.8507
c82956_g1	6055.m.8510
c82957_g1	6055.m.8511
c82957_g2	6055.m.8513
c82968_g1	6055.m.8516
c82968_g2	6055.m.8517
c82971_g1	6055.m.8520
c82974_g1	6055.m.8521
c82975_g1	6055.m.8523
c82975_g2	6055.m.8524
c82976_g1	6055.m.8526
c82980_g1	6055.m.8527
c82980_g2	6055.m.8529
c82982_g1	6055.m.8530
c82996_g1	6055.m.8537
c83000_g1	6055.m.8540
c83001_g1	6055.m.8542
c83006_g1	6055.m.8543
c83013_g1	6055.m.8545
c83014_g1	6055.m.8547
c83016_g1	6055.m.8550
c83018_g1	6055.m.8551
c83020_g1	6055.m.8552
c83021_g1	6055.m.8555
c83023_g1	6055.m.8556
c83023_g2	6055.m.8558
c83025_g1	6055.m.8559
c83031_g1	6055.m.8560
c83035_g1	6055.m.8563
c83036_g1	6055.m.8564
c83038_g1	6055.m.8566
c83039_g2	6055.m.8567
c83040_g2	6055.m.8568
c83042_g1	6055.m.8570
c83047_g1	6055.m.8573
c83048_g1	6055.m.8574
c83049_g1	6055.m.8575
c83050_g1	6055.m.8579
c83050_g2	6055.m.8580
c83052_g1	6055.m.8581
c83056_g1	6055.m.8582
c83058_g1	6055.m.8583
c83062_g1	6055.m.8584
c83067_g1	6055.m.8585
c83068_g1	6055.m.8586
c83070_g1	6055.m.8590
c83071_g1	6055.m.8591
c83080_g1	6055.m.8592
c83081_g1	6055.m.8593
c83082_g1	6055.m.8594
c83083_g2	6055.m.8596
c83084_g1	6055.m.8599
c83087_g1	6055.m.8600
c83088_g1	6055.m.8602
c83091_g2	6055.m.8605
c83094_g1	6055.m.8606
c83098_g1	6055.m.8607
c83101_g1	6055.m.8609
c83102_g1	6055.m.8612
c83103_g1	6055.m.8614
c83104_g1	6055.m.8615
c83107_g1	6055.m.8617
c83109_g1	6055.m.8618
c83121_g1	6055.m.8623
c83129_g1	6055.m.8624
c83141_g1	6055.m.8628
c83150_g1	6055.m.8630
c83152_g1	6055.m.8631
c83155_g1	6055.m.8632
c83156_g1	6055.m.8633
c83157_g1	6055.m.8635
c83161_g1	6055.m.8640
c83165_g1	6055.m.8641
c83167_g1	6055.m.8642
c83172_g1	6055.m.8644
c83182_g1	6055.m.8647
c83186_g1	6055.m.8648
c83189_g1	6055.m.8649
c83191_g1	6055.m.8650
c83201_g1	6055.m.8654
c83211_g1	6055.m.8656
c8322_g1	6055.m.844
c83225_g1	6055.m.8659
c83226_g1	6055.m.8660
c83226_g2	6055.m.8661
c83227_g1	6055.m.8663
c83228_g1	6055.m.8665
c83230_g1	6055.m.8666
c83230_g2	6055.m.8667
c83232_g1	6055.m.8668
c83233_g2	6055.m.8669
c83238_g1	6055.m.8672
c83243_g1	6055.m.8674
c83243_g2	6055.m.8676
c83246_g1	6055.m.8677
c83256_g1	6055.m.8678
c83270_g1	6055.m.8681
c83271_g1	6055.m.8682
c83285_g1	6055.m.8685
c83287_g1	6055.m.8688
c83288_g1	6055.m.8689
c8329_g1	6055.m.846
c83294_g1	6055.m.8690
c83298_g1	6055.m.8691
c83299_g1	6055.m.8692
c83299_g2	6055.m.8693
c83299_g3	6055.m.8694
c83299_g4	6055.m.8696
c833_g1	6055.m.36
c83302_g1	6055.m.8697
c83304_g1	6055.m.8698
c83309_g1	6055.m.8700
c83313_g1	6055.m.8701
c83316_g1	6055.m.8702
c83321_g1	6055.m.8703
c83325_g1	6055.m.8704
c83327_g1	6055.m.8706
c83331_g1	6055.m.8708
c83335_g1	6055.m.8709
c83338_g1	6055.m.8710
c83343_g1	6055.m.8712
c83345_g1	6055.m.8713
c83350_g1	6055.m.8714
c83351_g1	6055.m.8716
c83360_g1	6055.m.8717
c83363_g1	6055.m.8719
c83367_g1	6055.m.8720
c83377_g1	6055.m.8721
c83382_g1	6055.m.8723
c83385_g1	6055.m.8724
c83388_g1	6055.m.8726
c83388_g2	6055.m.8727
c83392_g1	6055.m.8729
c83395_g1	6055.m.8730
c83395_g2	6055.m.8732
c83397_g1	6055.m.8733
c83403_g1	6055.m.8737
c83405_g1	6055.m.8738
c83405_g2	6055.m.8740
c83406_g1	6055.m.8741
c83414_g1	6055.m.8744
c83426_g1	6055.m.8745
c83434_g1	6055.m.8747
c83434_g2	6055.m.8749
c83440_g1	6055.m.8750
c83442_g2	6055.m.8755
c83449_g2	6055.m.8758
c83452_g1	6055.m.8759
c83458_g1	6055.m.8760
c83461_g1	6055.m.8761
c83466_g1	6055.m.8762
c83472_g1	6055.m.8763
c83473_g1	6055.m.8765
c83473_g2	6055.m.8766
c83478_g1	6055.m.8767
c83486_g1	6055.m.8769
c83488_g1	6055.m.8770
c83491_g1	6055.m.8772
c83510_g2	6055.m.8774
c83512_g1	6055.m.8775
c83517_g1	6055.m.8777
c83530_g1	6055.m.8778
c83534_g1	6055.m.8779
c83535_g1	6055.m.8782
c83540_g2	6055.m.8784
c83545_g1	6055.m.8786
c83551_g2	6055.m.8788
c83557_g1	6055.m.8789
c83558_g1	6055.m.8790
c83558_g2	6055.m.8792
c83571_g1	6055.m.8794
c83574_g1	6055.m.8795
c83577_g1	6055.m.8797
c83582_g1	6055.m.8801
c83585_g1	6055.m.8803
c83597_g1	6055.m.8804
c83604_g1	6055.m.8805
c83607_g1	6055.m.8808
c83608_g1	6055.m.8810
c83616_g1	6055.m.8811
c83618_g1	6055.m.8812
c83628_g1	6055.m.8815
c83629_g1	6055.m.8816
c83631_g2	6055.m.8820
c83635_g1	6055.m.8821
c83637_g1	6055.m.8822
c83637_g2	6055.m.8824
c83638_g1	6055.m.8825
c83638_g2	6055.m.8827
c83639_g1	6055.m.8830
c83639_g2	6055.m.8831
c83640_g1	6055.m.8832
c83646_g1	6055.m.8835
c83649_g1	6055.m.8837
c83651_g1	6055.m.8838
c83658_g1	6055.m.8840
c83658_g2	6055.m.8841
c8366_g1	6055.m.847
c83660_g1	6055.m.8842
c83666_g1	6055.m.8844
c83668_g1	6055.m.8845
c83670_g1	6055.m.8847
c83674_g1	6055.m.8848
c83683_g1	6055.m.8853
c83686_g1	6055.m.8856
c83688_g1	6055.m.8858
c83693_g1	6055.m.8860
c83699_g1	6055.m.8861
c83700_g1	6055.m.8862
c83702_g1	6055.m.8863
c83704_g1	6055.m.8864
c83712_g2	6055.m.8866
c83720_g1	6055.m.8868
c83722_g1	6055.m.8871
c83725_g1	6055.m.8873
c83726_g1	6055.m.8875
c83731_g1	6055.m.8877
c83731_g2	6055.m.8878
c83736_g1	6055.m.8879
c83736_g2	6055.m.8880
c83747_g1	6055.m.8883
c83757_g1	6055.m.8885
c83761_g1	6055.m.8887
c83763_g1	6055.m.8889
c83767_g1	6055.m.8891
c83768_g1	6055.m.8892
c83769_g1	6055.m.8894
c83774_g1	6055.m.8897
c83777_g1	6055.m.8898
c83781_g1	6055.m.8899
c83783_g1	6055.m.8901
c83795_g1	6055.m.8903
c83797_g1	6055.m.8907
c83799_g1	6055.m.8908
c83800_g1	6055.m.8909
c83802_g1	6055.m.8910
c83803_g1	6055.m.8916
c83806_g1	6055.m.8920
c83809_g1	6055.m.8922
c83809_g3	6055.m.8924
c83812_g1	6055.m.8926
c83815_g1	6055.m.8928
c83816_g1	6055.m.8929
c83816_g2	6055.m.8930
c83819_g1	6055.m.8932
c83821_g1	6055.m.8934
c83822_g1	6055.m.8937
c83824_g1	6055.m.8938
c83824_g2	6055.m.8939
c83828_g1	6055.m.8940
c83831_g1	6055.m.8941
c83833_g1	6055.m.8943
c83833_g2	6055.m.8944
c83840_g1	6055.m.8948
c83843_g1	6055.m.8950
c83846_g1	6055.m.8951
c83846_g2	6055.m.8952
c83847_g1	6055.m.8953
c83861_g1	6055.m.8955
c83862_g1	6055.m.8956
c83866_g1	6055.m.8957
c83868_g1	6055.m.8958
c83888_g1	6055.m.8961
c83892_g1	6055.m.8963
c83892_g2	6055.m.8964
c83899_g1	6055.m.8966
c83899_g2	6055.m.8967
c83901_g1	6055.m.8968
c83902_g1	6055.m.8970
c83903_g1	6055.m.8973
c83903_g2	6055.m.8974
c83908_g1	6055.m.8975
c83913_g1	6055.m.8976
c83914_g1	6055.m.8977
c83915_g1	6055.m.8979
c83915_g2	6055.m.8981
c83921_g1	6055.m.8983
c83923_g1	6055.m.8985
c83924_g1	6055.m.8994
c83924_g2	6055.m.8995
c83925_g1	6055.m.8996
c83930_g1	6055.m.9000
c83930_g2	6055.m.9001
c83933_g1	6055.m.9003
c83934_g1	6055.m.9004
c83938_g1	6055.m.9005
c83941_g1	6055.m.9006
c83945_g1	6055.m.9007
c83948_g1	6055.m.9008
c83950_g1	6055.m.9011
c83956_g1	6055.m.9012
c83957_g1	6055.m.9013
c83957_g2	6055.m.9015
c83961_g1	6055.m.9016
c83966_g1	6055.m.9017
c83972_g1	6055.m.9020
c83972_g2	6055.m.9021
c83973_g1	6055.m.9023
c83978_g1	6055.m.9026
c83982_g1	6055.m.9027
c83982_g2	6055.m.9028
c83983_g1	6055.m.9029
c83984_g1	6055.m.9031
c83986_g2	6055.m.9034
c83988_g1	6055.m.9037
c83989_g1	6055.m.9040
c83995_g1	6055.m.9042
c83996_g1	6055.m.9046
c83996_g2	6055.m.9047
c83998_g1	6055.m.9048
c84000_g1	6055.m.9049
c84005_g1	6055.m.9052
c84007_g1	6055.m.9053
c84008_g1	6055.m.9054
c84009_g1	6055.m.9056
c84012_g1	6055.m.9060
c84013_g1	6055.m.9061
c84016_g1	6055.m.9062
c84018_g1	6055.m.9063
c84019_g1	6055.m.9064
c84024_g1	6055.m.9065
c84026_g1	6055.m.9066
c84031_g1	6055.m.9067
c84041_g1	6055.m.9072
c84043_g1	6055.m.9075
c84052_g1	6055.m.9079
c84060_g1	6055.m.9080
c84068_g1	6055.m.9081
c84068_g2	6055.m.9082
c84068_g3	6055.m.9085
c84068_g4	6055.m.9086
c84074_g1	6055.m.9087
c84085_g1	6055.m.9090
c84092_g1	6055.m.9093
c84105_g1	6055.m.9096
c84107_g1	6055.m.9099
c84113_g1	6055.m.9100
c84116_g1	6055.m.9101
c84116_g2	6055.m.9102
c84120_g1	6055.m.9105
c84122_g1	6055.m.9106
c84124_g1	6055.m.9108
c84129_g1	6055.m.9112
c84134_g1	6055.m.9114
c84134_g2	6055.m.9116
c84135_g1	6055.m.9117
c84135_g2	6055.m.9118
c84136_g1	6055.m.9119
c84138_g1	6055.m.9122
c84142_g1	6055.m.9124
c84147_g1	6055.m.9126
c84151_g1	6055.m.9127
c84160_g1	6055.m.9128
c84162_g1	6055.m.9131
c84168_g1	6055.m.9132
c84169_g1	6055.m.9133
c84170_g1	6055.m.9134
c84171_g1	6055.m.9136
c84174_g1	6055.m.9140
c84175_g1	6055.m.9142
c84178_g1	6055.m.9145
c84180_g1	6055.m.9146
c84182_g1	6055.m.9147
c84183_g1	6055.m.9148
c84186_g1	6055.m.9149
c84202_g1	6055.m.9151
c84207_g1	6055.m.9155
c84207_g2	6055.m.9156
c84211_g1	6055.m.9158
c84222_g1	6055.m.9162
c84223_g1	6055.m.9164
c84224_g1	6055.m.9166
c84225_g1	6055.m.9167
c84230_g2	6055.m.9169
c84232_g1	6055.m.9170
c84238_g1	6055.m.9174
c84239_g1	6055.m.9175
c84240_g1	6055.m.9177
c84247_g1	6055.m.9178
c84248_g2	6055.m.9183
c84252_g1	6055.m.9186
c84255_g1	6055.m.9188
c84255_g2	6055.m.9191
c84263_g1	6055.m.9192
c84265_g1	6055.m.9194
c84266_g2	6055.m.9197
c84274_g1	6055.m.9200
c84275_g1	6055.m.9202
c84279_g1	6055.m.9204
c84283_g1	6055.m.9208
c84287_g1	6055.m.9209
c84288_g1	6055.m.9210
c84289_g1	6055.m.9212
c84290_g1	6055.m.9213
c84294_g1	6055.m.9215
c84295_g1	6055.m.9217
c84296_g1	6055.m.9219
c84297_g1	6055.m.9221
c84298_g2	6055.m.9224
c84300_g1	6055.m.9225
c84304_g1	6055.m.9226
c84305_g1	6055.m.9228
c84307_g1	6055.m.9230
c84307_g2	6055.m.9231
c84310_g1	6055.m.9232
c84316_g1	6055.m.9233
c84321_g1	6055.m.9234
c84321_g2	6055.m.9235
c84321_g3	6055.m.9238
c84322_g1	6055.m.9241
c84325_g1	6055.m.9243
c84328_g1	6055.m.9244
c84328_g2	6055.m.9246
c84329_g1	6055.m.9249
c84334_g1	6055.m.9250
c84335_g1	6055.m.9251
c84337_g1	6055.m.9253
c84337_g2	6055.m.9254
c84338_g1	6055.m.9255
c84341_g1	6055.m.9257
c84343_g1	6055.m.9258
c84349_g1	6055.m.9260
c84352_g1	6055.m.9261
c84357_g1	6055.m.9262
c84360_g1	6055.m.9263
c84361_g1	6055.m.9264
c84373_g1	6055.m.9266
c84378_g1	6055.m.9267
c84383_g1	6055.m.9269
c84383_g2	6055.m.9270
c84392_g1	6055.m.9273
c84396_g1	6055.m.9274
c84397_g1	6055.m.9275
c84398_g2	6055.m.9278
c84405_g2	6055.m.9280
c84408_g1	6055.m.9281
c84410_g1	6055.m.9284
c84410_g2	6055.m.9286
c84411_g1	6055.m.9287
c84415_g1	6055.m.9288
c84426_g1	6055.m.9289
c84426_g2	6055.m.9290
c84428_g1	6055.m.9292
c84428_g2	6055.m.9293
c84431_g1	6055.m.9294
c84431_g2	6055.m.9295
c84432_g1	6055.m.9297
c84432_g2	6055.m.9299
c84433_g1	6055.m.9300
c84444_g1	6055.m.9302
c84445_g1	6055.m.9303
c84445_g2	6055.m.9305
c84451_g1	6055.m.9307
c84456_g1	6055.m.9310
c84459_g1	6055.m.9311
c84460_g1	6055.m.9312
c84463_g1	6055.m.9313
c84464_g1	6055.m.9314
c84464_g2	6055.m.9317
c84472_g1	6055.m.9318
c84477_g2	6055.m.9321
c84479_g1	6055.m.9323
c84480_g1	6055.m.9325
c84486_g1	6055.m.9326
c84488_g1	6055.m.9327
c84490_g1	6055.m.9328
c84496_g1	6055.m.9329
c84497_g1	6055.m.9331
c84501_g1	6055.m.9333
c84511_g1	6055.m.9334
c84512_g1	6055.m.9335
c84514_g1	6055.m.9336
c84515_g1	6055.m.9337
c84515_g2	6055.m.9341
c84517_g1	6055.m.9342
c84518_g1	6055.m.9345
c84521_g1	6055.m.9347
c84523_g1	6055.m.9353
c84529_g1	6055.m.9356
c84529_g2	6055.m.9357
c84530_g1	6055.m.9358
c84535_g1	6055.m.9359
c84541_g1	6055.m.9360
c84543_g1	6055.m.9362
c84545_g2	6055.m.9364
c84550_g1	6055.m.9366
c84556_g1	6055.m.9369
c84557_g1	6055.m.9373
c84561_g1	6055.m.9375
c84564_g1	6055.m.9377
c84564_g2	6055.m.9380
c84564_g3	6055.m.9382
c84565_g1	6055.m.9384
c84570_g1	6055.m.9385
c84574_g1	6055.m.9388
c84577_g1	6055.m.9390
c84582_g1	6055.m.9393
c84584_g1	6055.m.9395
c84587_g1	6055.m.9398
c84588_g1	6055.m.9399
c84591_g1	6055.m.9400
c84595_g1	6055.m.9401
c84598_g1	6055.m.9402
c84600_g1	6055.m.9404
c84604_g1	6055.m.9405
c84604_g2	6055.m.9406
c84604_g3	6055.m.9407
c84604_g4	6055.m.9408
c84608_g1	6055.m.9410
c84615_g1	6055.m.9412
c84615_g2	6055.m.9413
c84621_g1	6055.m.9415
c84623_g1	6055.m.9416
c84623_g2	6055.m.9417
c84625_g1	6055.m.9418
c84628_g1	6055.m.9420
c84629_g1	6055.m.9421
c84634_g1	6055.m.9422
c84637_g1	6055.m.9423
c84646_g1	6055.m.9424
c84662_g1	6055.m.9425
c84663_g1	6055.m.9427
c84681_g1	6055.m.9429
c84687_g1	6055.m.9430
c84700_g1	6055.m.9432
c84705_g1	6055.m.9435
c84708_g2	6055.m.9437
c84717_g1	6055.m.9440
c84718_g1	6055.m.9442
c84718_g2	6055.m.9443
c84719_g1	6055.m.9445
c84719_g2	6055.m.9447
c84720_g1	6055.m.9449
c84723_g1	6055.m.9451
c84725_g1	6055.m.9453
c84727_g1	6055.m.9457
c84727_g2	6055.m.9459
c84728_g1	6055.m.9461
c84730_g1	6055.m.9465
c84730_g2	6055.m.9466
c84730_g3	6055.m.9467
c84731_g1	6055.m.9469
c84732_g1	6055.m.9470
c84736_g2	6055.m.9472
c84737_g1	6055.m.9473
c84737_g2	6055.m.9475
c84753_g1	6055.m.9477
c84754_g1	6055.m.9478
c84755_g1	6055.m.9480
c84765_g1	6055.m.9483
c84768_g1	6055.m.9487
c84771_g1	6055.m.9489
c84774_g1	6055.m.9491
c84777_g1	6055.m.9492
c84778_g1	6055.m.9493
c84778_g2	6055.m.9496
c84780_g1	6055.m.9497
c84786_g1	6055.m.9499
c84786_g2	6055.m.9500
c84790_g1	6055.m.9501
c84798_g1	6055.m.9502
c84802_g1	6055.m.9503
c84817_g1	6055.m.9505
c84830_g1	6055.m.9507
c84834_g1	6055.m.9508
c84834_g2	6055.m.9510
c84837_g1	6055.m.9511
c84842_g1	6055.m.9512
c84844_g1	6055.m.9513
c84844_g2	6055.m.9514
c84844_g3	6055.m.9516
c84845_g1	6055.m.9517
c84847_g1	6055.m.9519
c84849_g1	6055.m.9520
c84852_g1	6055.m.9521
c84852_g2	6055.m.9523
c84854_g1	6055.m.9524
c84855_g1	6055.m.9525
c84860_g1	6055.m.9527
c84864_g1	6055.m.9528
c84869_g1	6055.m.9532
c84870_g1	6055.m.9535
c84875_g1	6055.m.9536
c84879_g1	6055.m.9540
c84879_g2	6055.m.9541
c84886_g1	6055.m.9545
c84886_g2	6055.m.9546
c84892_g1	6055.m.9548
c84893_g1	6055.m.9550
c84897_g1	6055.m.9552
c84902_g1	6055.m.9553
c84906_g1	6055.m.9557
c84908_g1	6055.m.9558
c84912_g1	6055.m.9560
c84922_g1	6055.m.9562
c84924_g1	6055.m.9566
c84924_g2	6055.m.9567
c84931_g1	6055.m.9569
c84931_g2	6055.m.9571
c84931_g3	6055.m.9573
c84933_g1	6055.m.9574
c84935_g1	6055.m.9575
c84935_g2	6055.m.9576
c84940_g1	6055.m.9577
c84943_g1	6055.m.9578
c84943_g2	6055.m.9579
c84948_g1	6055.m.9580
c84952_g1	6055.m.9581
c84954_g1	6055.m.9583
c84962_g1	6055.m.9587
c84963_g1	6055.m.9590
c84964_g2	6055.m.9594
c84965_g1	6055.m.9597
c84966_g1	6055.m.9599
c84968_g1	6055.m.9603
c84970_g1	6055.m.9604
c84976_g1	6055.m.9605
c84980_g1	6055.m.9607
c84980_g2	6055.m.9608
c84982_g1	6055.m.9609
c84985_g1	6055.m.9610
c84990_g2	6055.m.9612
c84992_g1	6055.m.9615
c84995_g1	6055.m.9616
c84995_g2	6055.m.9618
c84999_g1	6055.m.9619
c84999_g2	6055.m.9621
c84999_g3	6055.m.9622
c85001_g1	6055.m.9623
c85004_g1	6055.m.9624
c85009_g1	6055.m.9625
c85010_g1	6055.m.9626
c85012_g1	6055.m.9628
c85022_g1	6055.m.9630
c85026_g1	6055.m.9636
c85028_g1	6055.m.9638
c85036_g1	6055.m.9639
c85037_g1	6055.m.9641
c85041_g1	6055.m.9642
c85043_g1	6055.m.9643
c85044_g1	6055.m.9645
c85050_g1	6055.m.9648
c85050_g2	6055.m.9651
c85074_g1	6055.m.9653
c85076_g1	6055.m.9654
c85078_g1	6055.m.9656
c85084_g1	6055.m.9657
c85087_g1	6055.m.9659
c85088_g2	6055.m.9660
c85089_g1	6055.m.9661
c8509_g1	6055.m.849
c85090_g1	6055.m.9663
c85092_g1	6055.m.9665
c85092_g2	6055.m.9667
c85095_g1	6055.m.9670
c85099_g1	6055.m.9671
c851_g1	6055.m.38
c85104_g1	6055.m.9672
c85104_g2	6055.m.9676
c85109_g1	6055.m.9678
c85111_g1	6055.m.9682
c85113_g1	6055.m.9684
c85113_g2	6055.m.9685
c85116_g1	6055.m.9688
c85120_g1	6055.m.9689
c85126_g1	6055.m.9690
c85128_g2	6055.m.9693
c85131_g1	6055.m.9694
c85131_g2	6055.m.9696
c85134_g1	6055.m.9697
c85141_g1	6055.m.9699
c85144_g1	6055.m.9700
c85144_g2	6055.m.9702
c85149_g1	6055.m.9705
c85149_g2	6055.m.9708
c85157_g1	6055.m.9709
c85164_g1	6055.m.9711
c85165_g1	6055.m.9712
c85166_g1	6055.m.9713
c85166_g2	6055.m.9714
c8517_g1	6055.m.850
c85172_g1	6055.m.9718
c85175_g1	6055.m.9720
c85176_g1	6055.m.9722
c85177_g2	6055.m.9723
c85180_g1	6055.m.9726
c85197_g1	6055.m.9727
c85198_g1	6055.m.9728
c85198_g2	6055.m.9730
c85199_g1	6055.m.9733
c85204_g1	6055.m.9736
c85211_g1	6055.m.9737
c85212_g1	6055.m.9738
c85217_g1	6055.m.9740
c85217_g2	6055.m.9741
c85218_g1	6055.m.9742
c85222_g1	6055.m.9743
c85223_g1	6055.m.9746
c85224_g1	6055.m.9748
c85227_g1	6055.m.9751
c85228_g1	6055.m.9753
c85228_g2	6055.m.9755
c85229_g1	6055.m.9757
c85230_g1	6055.m.9760
c85231_g1	6055.m.9762
c85234_g1	6055.m.9763
c85235_g1	6055.m.9764
c85235_g2	6055.m.9765
c85239_g1	6055.m.9768
c85246_g1	6055.m.9769
c85248_g1	6055.m.9773
c85251_g1	6055.m.9774
c85252_g1	6055.m.9777
c85252_g2	6055.m.9778
c85254_g1	6055.m.9780
c85255_g1	6055.m.9781
c85259_g1	6055.m.9782
c85262_g1	6055.m.9783
c85263_g2	6055.m.9784
c85264_g1	6055.m.9785
c85265_g1	6055.m.9788
c85267_g1	6055.m.9792
c85269_g1	6055.m.9793
c85270_g1	6055.m.9798
c85271_g1	6055.m.9800
c85274_g1	6055.m.9802
c85276_g1	6055.m.9806
c85277_g1	6055.m.9807
c85278_g1	6055.m.9808
c85287_g1	6055.m.9810
c85288_g1	6055.m.9811
c8529_g1	6055.m.851
c85291_g1	6055.m.9815
c85293_g1	6055.m.9816
c85295_g1	6055.m.9818
c85298_g1	6055.m.9819
c85305_g1	6055.m.9820
c85309_g1	6055.m.9821
c85310_g1	6055.m.9823
c85313_g1	6055.m.9824
c85313_g2	6055.m.9825
c85315_g2	6055.m.9828
c85328_g1	6055.m.9830
c85335_g1	6055.m.9831
c85341_g2	6055.m.9835
c85345_g1	6055.m.9837
c85347_g1	6055.m.9838
c85351_g1	6055.m.9840
c85358_g1	6055.m.9841
c85360_g1	6055.m.9842
c85363_g1	6055.m.9844
c85367_g1	6055.m.9845
c85367_g2	6055.m.9847
c85368_g1	6055.m.9848
c85369_g1	6055.m.9850
c85370_g1	6055.m.9851
c85371_g1	6055.m.9854
c85371_g2	6055.m.9856
c85375_g1	6055.m.9857
c85380_g1	6055.m.9858
c85381_g1	6055.m.9860
c85382_g1	6055.m.9864
c85384_g1	6055.m.9866
c85388_g1	6055.m.9867
c85389_g1	6055.m.9868
c85392_g1	6055.m.9869
c85395_g1	6055.m.9870
c85403_g1	6055.m.9872
c85404_g1	6055.m.9874
c85411_g1	6055.m.9875
c85426_g1	6055.m.9878
c85428_g1	6055.m.9884
c85439_g1	6055.m.9887
c85440_g1	6055.m.9888
c85442_g1	6055.m.9890
c85445_g1	6055.m.9891
c85446_g1	6055.m.9895
c85446_g2	6055.m.9896
c85448_g1	6055.m.9898
c85450_g1	6055.m.9900
c85452_g1	6055.m.9903
c85463_g1	6055.m.9904
c85463_g2	6055.m.9905
c85464_g1	6055.m.9906
c85468_g1	6055.m.9908
c85472_g1	6055.m.9910
c85475_g1	6055.m.9911
c85486_g1	6055.m.9917
c85487_g1	6055.m.9918
c85494_g1	6055.m.9921
c85497_g1	6055.m.9922
c85497_g2	6055.m.9923
c85500_g1	6055.m.9924
c85501_g1	6055.m.9925
c85501_g2	6055.m.9926
c85501_g3	6055.m.9927
c85504_g1	6055.m.9928
c85504_g2	6055.m.9931
c85508_g1	6055.m.9932
c85512_g1	6055.m.9933
c85512_g2	6055.m.9934
c85513_g1	6055.m.9935
c85513_g2	6055.m.9936
c85516_g1	6055.m.9937
c85516_g2	6055.m.9939
c85517_g1	6055.m.9940
c85520_g1	6055.m.9942
c85524_g1	6055.m.9943
c85536_g1	6055.m.9944
c85537_g1	6055.m.9945
c85539_g1	6055.m.9951
c85541_g1	6055.m.9955
c85553_g1	6055.m.9957
c85554_g1	6055.m.9961
c85562_g1	6055.m.9962
c85565_g1	6055.m.9963
c85566_g1	6055.m.9964
c85568_g1	6055.m.9965
c85569_g1	6055.m.9967
c85570_g1	6055.m.9968
c85572_g1	6055.m.9969
c85580_g1	6055.m.9971
c85585_g1	6055.m.9972
c85589_g1	6055.m.9974
c85595_g1	6055.m.9977
c85595_g2	6055.m.9979
c85596_g1	6055.m.9980
c85596_g2	6055.m.9981
c85606_g1	6055.m.9982
c85606_g2	6055.m.9983
c85615_g1	6055.m.9990
c85616_g1	6055.m.9992
c85618_g1	6055.m.9994
c85625_g1	6055.m.9996
c85632_g1	6055.m.9997
c85639_g1	6055.m.9998
c85643_g1	6055.m.10000
c85655_g1	6055.m.10002
c85662_g1	6055.m.10005
c85669_g2	6055.m.10013
c85675_g1	6055.m.10015
c85675_g2	6055.m.10017
c85676_g1	6055.m.10018
c85681_g1	6055.m.10020
c85684_g1	6055.m.10022
c85689_g1	6055.m.10023
c85697_g1	6055.m.10024
c85698_g1	6055.m.10025
c85699_g1	6055.m.10026
c85699_g2	6055.m.10029
c85700_g1	6055.m.10030
c85703_g1	6055.m.10031
c85708_g1	6055.m.10035
c85709_g1	6055.m.10036
c8571_g1	6055.m.854
c85710_g1	6055.m.10037
c85715_g1	6055.m.10038
c85717_g1	6055.m.10039
c85722_g1	6055.m.10041
c85725_g1	6055.m.10042
c85733_g1	6055.m.10043
c85740_g1	6055.m.10045
c85748_g1	6055.m.10046
